A_Index;AnzahlZimmer;Ausbaustufe;Baeder;BaederKG;Baujahr;EG_qm;Garage_qm;Garagen;Gesamteindruck;Keller_Typ_qm;Keller_qm;Kellerhoehe;Kellertyp;Lage;OG_qm;Umgebaut;Verkaufsjahr;Verkaufsmonat;Wohnflaeche_qm;Z_Verkaufspreis
1502;1;1 Ebene;2;1;2013;111;46;2;3;85;111;Sehr gut;Guter Wohnraum;Bezirk 24;0;2013;2020;7;111;285000
1801;2;1 Ebene;1;1;1965;85;20;1;4;54;85;Durchschnitt;Kein Wohnraum;Bezirk 15;0;2018;2019;5;85;134500
184;3;1 Ebene;1;0;1967;119;26;1;4;66;102;Durchschnitt;Freizeitraum;Bezirk 15;0;1987;2019;6;119;130000
1644;3;1 Ebene;2;1;2020;114;56;3;3;6;113;Gut;Guter Wohnraum;Bezirk 26;0;2020;2022;5;114;252999
981;2;1 Ebene;1;1;1957;67;20;1;4;59;67;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1962;2021;8;67;113000
155;3;1 Ebene;2;1;1989;87;26;1;5;16;87;Gut;Guter Wohnraum;Bezirk 6;0;2016;2022;6;87;252557
928;2;1 Ebene;1;1;1968;79;26;1;4;21;79;Durchschnitt;Kein Wohnraum;Bezirk 15;0;2012;2022;5;79;148350
1881;4;1 Ebene;2;1;1986;121;44;2;3;71;121;Durchschnitt;Niedrige Qualität;Bezirk 15;0;1986;2021;6;121;157000
1800;2;1 Ebene;1;0;1948;74;15;1;2;0;70;Durchschnitt;Rohbau;Bezirk 21;0;1962;2018;1;74;80000
800;3;1 Ebene;1;1;1971;112;53;2;4;34;90;Durchschnitt;Freizeitraum;Bezirk 15;0;2014;2019;7;112;150750
630;2;1 Ebene;1;1;1933;81;36;2;4;60;74;Gut;Mittlerer Wohnraum;Bezirk 7;0;2018;2021;8;81;163500
2192;2;1 Ebene;2;1;2017;96;38;2;3;87;96;Gut;Guter Wohnraum;Bezirk 8;0;2017;2020;6;96;176000
1308;1;2 Ebenen;1;0;1951;54;21;1;3;0;0;0;0;Bezirk 12;0;1962;2019;3;71;68104
743;2;3 Ebenen;2;0;1926;74;27;2;4;33;74;Gut;Freizeitraum;Bezirk 20;75;1982;2018;10;150;163000
1916;3;1 Ebene;1;1;1979;76;24;1;3;65;73;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;1979;2018;12;76;123000
1082;3;1 Ebene;2;0;1998;106;49;2;3;78;106;Gut;Guter Wohnraum;Bezirk 26;0;1998;2020;3;106;180000
1086;3;2 Ebenen;3;0;2017;74;49;2;3;0;74;Gut;Rohbau;Bezirk 6;77;2018;2019;10;152;210100
2041;3;1 Ebene;1;1;1965;139;23;1;4;50;93;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1965;2019;2;139;153000
1093;3;2 Ebenen;3;1;2014;78;41;2;3;59;77;Gut;Guter Wohnraum;Bezirk 6;79;2014;2018;6;158;200000
317;3;1 Ebene;1;1;1962;73;61;2;5;33;73;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;2014;2019;7;73;129000
279;3;1 Ebene;1;1;1968;128;27;1;4;73;128;Durchschnitt;Freizeitraum;Bezirk 8;0;1968;2020;7;128;159900
1672;2;1 Ebene;1;2;1985;80;21;1;4;77;80;Gut;Guter Wohnraum;Bezirk 13;0;1985;2022;5;80;137425
1110;3;2 Ebenen;2;0;1933;69;15;1;4;0;62;Durchschnitt;Rohbau;Bezirk 7;44;1962;2021;7;114;154900
2477;3;1 Ebene;1;0;1971;85;0;0;2;24;85;Durchschnitt;Guter Wohnraum;Bezirk 22;0;1971;2020;7;85;80000
813;3;1 Ebene;2;0;1989;156;46;2;4;59;156;Gut;Kein Wohnraum;Bezirk 19;0;1989;2022;1;156;218499
2061;3;2 Ebenen;3;0;2018;63;34;2;3;0;32;Gut;Rohbau;Bezirk 26;59;2019;2022;4;122;200099
566;2;2 Ebenen;2;0;1927;74;34;2;4;0;74;Durchschnitt;Rohbau;Bezirk 12;36;1990;2020;4;111;120000
125;2;1 Ebene;1;1;1932;51;0;0;4;29;44;Durchschnitt;Mittlerer Wohnraum;Bezirk 8;0;2014;2019;7;51;86000
1907;2;1 Ebene;2;0;1998;110;26;1;3;0;0;0;0;Bezirk 11;0;1998;2018;11;110;230000
2527;3;2 Ebenen;1;0;1912;75;29;1;3;0;45;Durchschnitt;Rohbau;Bezirk 20;46;1962;2018;4;122;79000
1188;3;2 Ebenen;2;0;1912;92;30;1;4;0;77;Schlecht;Rohbau;Bezirk 20;77;1962;2021;6;170;160000
977;3;2 Ebenen;2;0;1966;83;28;1;4;41;83;Durchschnitt;Kein Wohnraum;Bezirk 8;54;1966;2019;5;138;154000
2078;2;2 Ebenen;1;0;1922;51;0;0;4;0;51;Durchschnitt;Rohbau;Bezirk 20;31;1962;2021;5;82;37900
339;2;2 Ebenen;2;0;1983;41;22;1;3;32;41;Durchschnitt;Mittlerer Wohnraum;Bezirk 3;42;1983;2020;7;83;85400
1323;3;1 Ebene;1;0;1980;76;22;1;3;14;74;Durchschnitt;Freizeitraum;Bezirk 22;0;1980;2019;1;76;115000
1765;3;1 Ebene;2;1;1968;146;48;2;4;53;89;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1968;2021;7;146;177625
1654;3;1 Ebene;1;0;1971;74;24;1;4;0;0;0;0;Bezirk 15;0;1971;2019;7;74;106500
372;3;2 Ebenen;3;1;2009;74;51;2;3;58;73;Gut;Guter Wohnraum;Bezirk 6;76;2009;2020;7;150;260997
1860;3;2 Ebenen;1;0;1927;59;32;1;4;0;59;Durchschnitt;Rohbau;Bezirk 4;59;2015;2019;7;118;153575
2588;3;1 Ebene;2;0;1989;109;44;2;3;0;56;Durchschnitt;Rohbau;Bezirk 22;0;1989;2019;4;109;143500
578;3;1 Ebene;1;0;1983;74;29;1;4;39;73;Durchschnitt;Mittlerer Wohnraum;Bezirk 14;0;2016;2022;6;74;149500
1297;3;1 Ebene;1;0;1979;91;22;1;3;18;91;Durchschnitt;Kein Wohnraum;Bezirk 22;0;1979;2020;3;91;120000
787;2;1 Ebene;1;1;2004;84;47;2;4;63;79;Gut;Guter Wohnraum;Bezirk 23;0;2004;2022;4;84;169050
632;2;1 Ebene;1;0;1968;86;22;1;3;0;0;0;0;Bezirk 15;0;1968;2020;3;86;98000
2079;4;2 Ebenen;3;1;2010;119;64;3;3;89;118;Gut;Guter Wohnraum;Bezirk 16;99;2011;2019;1;219;322500
2525;3;1 Ebene;2;1;2015;125;52;2;3;100;125;Gut;Guter Wohnraum;Bezirk 15;0;2021;2022;2;125;246099
894;3;2 Ebenen;3;1;2005;75;40;2;3;51;75;Gut;Guter Wohnraum;Bezirk 23;67;2006;2020;10;142;163000
1014;4;1 Ebene;2;0;1979;134;67;3;3;0;134;Durchschnitt;Rohbau;Bezirk 15;0;1979;2021;4;134;124000
484;3;1 Ebene;1;0;1962;139;33;2;3;0;0;0;0;Bezirk 22;0;1962;2018;6;139;131000
485;4;3 Ebenen;2;0;1912;97;24;1;1;0;58;Durchschnitt;Rohbau;Bezirk 12;58;1962;2020;1;156;103000
1770;1;1 Ebene;1;1;1990;104;41;2;3;55;104;Gut;Guter Wohnraum;Bezirk 10;0;1990;2018;7;104;170000
847;3;1 Ebene;3;1;2016;63;34;2;3;27;32;Gut;Guter Wohnraum;Bezirk 9;53;2016;2022;6;116;212174
2555;2;1 Ebene;2;1;2017;134;47;2;3;72;134;Sehr gut;Guter Wohnraum;Bezirk 18;0;2017;2019;5;134;280000
1719;2;1 Ebene;2;1;2005;113;39;2;3;62;113;Gut;Guter Wohnraum;Bezirk 25;0;2005;2020;10;113;180000
1810;1;1 Ebene;1;0;1958;34;25;1;3;0;34;Durchschnitt;Rohbau;Bezirk 20;0;1962;2020;3;34;46500
2281;4;2 Ebenen;3;0;1990;80;40;2;3;0;80;Durchschnitt;Rohbau;Bezirk 19;77;1990;2018;7;157;188900
2129;3;1 Ebene;1;0;1962;102;20;1;4;33;102;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1962;2021;8;102;129900
2278;2;1 Ebene;1;0;1932;71;21;1;3;0;67;Durchschnitt;Rohbau;Bezirk 20;0;1962;2018;6;71;64000
739;3;1 Ebene;1;1;1979;90;44;2;4;66;90;Durchschnitt;Mittlerer Wohnraum;Bezirk 22;0;1979;2018;6;90;153600
2077;3;1 Ebene;2;1;2002;122;61;2;3;62;77;Gut;Guter Wohnraum;Bezirk 23;0;2003;2019;5;122;179900
1535;3;1 Ebene;3;0;2016;63;34;2;3;0;32;Gut;Rohbau;Bezirk 9;53;2017;2021;8;116;170000
614;4;2 Ebenen;3;1;1930;116;73;3;4;95;116;Gut;Kein Wohnraum;Bezirk 7;106;1962;2019;11;223;239000
2312;3;1 Ebene;1;0;1982;73;39;2;4;16;73;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;1982;2021;7;73;124500
227;6;2 Ebenen;6;2;2012;99;69;4;3;69;99;Sehr gut;Guter Wohnraum;Bezirk 23;137;2012;2021;10;236;269500
1040;3;1 Ebene;2;1;1971;140;43;2;4;117;135;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;2003;2019;7;140;200000
2313;4;2 Ebenen;3;0;2016;98;63;3;3;0;98;Gut;Rohbau;Bezirk 24;109;2016;2019;6;207;265000
1237;2;1 Ebene;1;1;1995;69;22;1;4;50;69;Gut;Mittlerer Wohnraum;Bezirk 14;0;1995;2019;5;69;139000
1657;4;2 Ebenen;3;1;2000;98;44;2;3;70;97;Gut;Guter Wohnraum;Bezirk 5;76;2001;2019;9;175;211000
1534;3;2 Ebenen;3;1;2015;86;49;2;3;52;78;Gut;Guter Wohnraum;Bezirk 24;73;2015;2021;6;160;240900
1596;2;1 Ebene;1;1;1943;74;15;1;4;17;60;Durchschnitt;Kein Wohnraum;Bezirk 4;0;2005;2021;11;74;105000
188;5;2 Ebenen;2;0;1981;73;23;1;3;40;73;Durchschnitt;Kein Wohnraum;Bezirk 14;52;1981;2022;4;125;185150
890;3;2 Ebenen;3;1;2013;74;46;2;3;57;72;Durchschnitt;Guter Wohnraum;Bezirk 24;77;2013;2020;6;152;223000
299;3;2 Ebenen;3;1;2011;59;41;2;3;51;59;Gut;Mittlerer Wohnraum;Bezirk 24;61;2011;2022;5;120;178250
1288;3;1 Ebene;2;1;1981;89;39;2;5;51;89;Gut;Mittlerer Wohnraum;Bezirk 15;0;1981;2020;7;89;151000
193;3;1 Ebene;2;1;1989;136;40;2;4;102;136;Durchschnitt;Mittlerer Wohnraum;Bezirk 19;0;2013;2022;2;136;235749
177;3;1 Ebene;1;0;1971;102;26;1;3;79;102;Durchschnitt;Freizeitraum;Bezirk 15;0;1971;2022;5;102;124818
978;3;2 Ebenen;2;0;1974;52;23;1;5;27;52;Durchschnitt;Freizeitraum;Bezirk 8;55;2013;2020;11;107;134500
1432;3;2 Ebenen;2;1;1940;74;18;1;4;0;73;Durchschnitt;Rohbau;Bezirk 21;51;1962;2021;8;125;145000
1994;3;2 Ebenen;1;0;1942;86;19;1;4;0;82;Durchschnitt;Rohbau;Bezirk 4;35;2004;2019;7;121;131750
2552;3;1 Ebene;2;1;1976;86;44;2;5;5;83;Durchschnitt;Niedrige Qualität;Bezirk 22;0;2013;2019;5;86;165000
516;2;1 Ebene;1;0;1965;80;34;2;3;53;83;Durchschnitt;Kein Wohnraum;Bezirk 15;0;1965;2020;7;80;130000
512;3;2 Ebenen;3;1;2014;95;49;2;3;68;95;Gut;Guter Wohnraum;Bezirk 6;76;2014;2020;3;172;286770
2120;3;2 Ebenen;1;0;1941;80;17;1;4;0;73;Durchschnitt;Rohbau;Bezirk 4;17;1962;2020;7;98;120000
1249;3;2 Ebenen;3;0;1998;59;39;2;4;28;57;Gut;Freizeitraum;Bezirk 23;59;1998;2021;7;119;162000
82;3;1 Ebene;1;1;1962;91;39;1;4;8;56;Durchschnitt;Guter Wohnraum;Bezirk 8;0;1999;2022;6;91;166175
2480;3;2 Ebenen;1;0;1944;72;23;1;3;15;67;Durchschnitt;Freizeitraum;Bezirk 21;57;2012;2021;7;129;159434
748;3;1 Ebene;1;0;1978;92;22;1;3;51;92;Durchschnitt;Freizeitraum;Bezirk 8;0;1978;2020;4;92;123000
1911;3;2 Ebenen;3;1;1962;103;43;2;5;36;70;Durchschnitt;Guter Wohnraum;Bezirk 7;80;2012;2020;4;183;263400
1598;2;1 Ebene;1;1;1969;105;78;2;4;51;77;Durchschnitt;Guter Wohnraum;Bezirk 20;0;2008;2022;4;105;172155
1400;3;2 Ebenen;3;0;1977;100;41;2;4;38;65;Durchschnitt;Kein Wohnraum;Bezirk 15;68;2002;2021;10;168;205000
464;3;1 Ebene;3;0;2006;78;33;2;3;15;33;Gut;Niedrige Qualität;Bezirk 9;65;2006;2019;3;143;160000
285;3;1 Ebene;2;0;2017;137;70;3;3;0;137;Gut;Rohbau;Bezirk 24;0;2017;2018;4;137;232000
952;2;1 Ebene;2;1;1987;130;48;2;3;55;130;Gut;Mittlerer Wohnraum;Bezirk 5;0;1987;2018;12;130;280000
228;2;1 Ebene;1;1;1985;44;25;1;3;39;39;Gut;Guter Wohnraum;Bezirk 13;39;1985;2021;11;83;91000
1136;3;1 Ebene;2;1;1988;122;44;2;5;98;122;Gut;Mittlerer Wohnraum;Bezirk 27;0;2016;2019;7;122;218000
1804;3;1 Ebene;1;1;2006;84;57;2;3;58;84;Gut;Guter Wohnraum;Bezirk 6;0;2007;2020;2;84;175450
918;3;2 Ebenen;3;0;2010;67;33;2;3;0;67;Gut;Rohbau;Bezirk 9;57;2010;2022;5;124;207459
1183;4;2 Ebenen;3;1;2005;94;66;3;3;19;91;Gut;Kein Wohnraum;Bezirk 16;92;2006;2020;7;186;287500
58;1;1 Ebene;1;0;1960;73;33;1;4;0;0;0;0;Bezirk 20;0;1962;2020;8;73;89900
1811;3;2 Ebenen;1;0;1952;64;20;1;5;0;61;Schlecht;Rohbau;Bezirk 12;28;2018;2020;7;92;120000
256;4;2 Ebenen;2;1;1952;68;0;0;4;29;54;Durchschnitt;Mittlerer Wohnraum;Bezirk 8;46;2011;2020;9;115;127500
841;3;2 Ebenen;3;0;2008;77;69;3;3;0;77;Gut;Rohbau;Bezirk 14;77;2009;2020;9;154;213000
2158;3;1 Ebene;3;1;2017;170;61;3;3;120;162;Sehr gut;Guter Wohnraum;Bezirk 25;0;2017;2018;9;170;470000
809;4;3 Ebenen;3;0;1939;73;22;2;4;0;72;Durchschnitt;Rohbau;Bezirk 7;72;2004;2019;10;146;238000
749;2;1 Ebene;2;1;1999;127;43;2;4;80;127;Gut;Guter Wohnraum;Bezirk 26;0;1999;2019;10;127;244000
1670;3;2 Ebenen;2;0;1932;36;18;1;4;0;50;Schlecht;Rohbau;Bezirk 12;36;1962;2020;6;73;65000
2161;3;1 Ebene;2;1;2015;118;46;2;3;85;118;Gut;Guter Wohnraum;Bezirk 6;0;2015;2018;3;118;207000
1247;3;2 Ebenen;2;0;1927;108;18;1;5;0;57;Durchschnitt;Rohbau;Bezirk 20;57;2006;2021;6;165;179900
319;3;3 Ebenen;2;0;1926;63;0;0;4;0;63;Durchschnitt;Rohbau;Bezirk 20;63;2013;2020;6;126;128000
676;2;1 Ebene;1;1;1960;132;69;2;4;28;132;Durchschnitt;Freizeitraum;Bezirk 20;0;1985;2019;6;132;153500
397;3;1 Ebene;2;1;1988;112;49;2;4;53;104;Gut;Guter Wohnraum;Bezirk 19;0;1988;2019;2;112;174000
1840;2;1 Ebene;1;0;1952;91;32;2;5;0;68;Durchschnitt;Rohbau;Bezirk 20;0;1962;2019;5;91;130000
551;3;2 Ebenen;2;0;1982;46;0;0;3;0;46;Durchschnitt;Rohbau;Bezirk 13;46;1982;2022;6;92;101487
867;4;1 Ebene;2;0;1963;181;44;2;2;64;181;Durchschnitt;Niedrige Qualität;Bezirk 15;0;1963;2018;10;181;137900
908;4;2 Ebenen;2;1;1946;58;19;1;2;0;49;Durchschnitt;Rohbau;Bezirk 8;36;1962;2021;3;94;63000
1917;3;1 Ebene;2;0;1977;87;26;1;4;60;87;Durchschnitt;Freizeitraum;Bezirk 22;0;1977;2018;1;87;120875
2556;3;2 Ebenen;3;1;1980;88;45;2;4;32;59;Durchschnitt;Mittlerer Wohnraum;Bezirk 19;59;1980;2019;6;148;175000
47;4;2 Ebenen;3;0;2002;110;58;2;3;103;103;Gut;Niedrige Qualität;Bezirk 26;103;2003;2018;4;213;250000
478;2;1 Ebene;2;0;2018;132;53;2;3;2;132;Gut;Guter Wohnraum;Bezirk 18;0;2018;2019;5;132;209500
791;3;1 Ebene;2;1;2014;122;49;2;3;107;121;Gut;Guter Wohnraum;Bezirk 6;0;2013;2021;4;122;270193
2508;3;2 Ebenen;2;1;1937;59;25;1;4;46;57;Durchschnitt;Kein Wohnraum;Bezirk 8;57;1962;2021;7;116;103600
1625;3;2 Ebenen;3;0;2005;90;40;2;3;32;66;Gut;Guter Wohnraum;Bezirk 23;71;2006;2018;9;162;215000
2271;5;2 Ebenen;3;0;1962;93;41;2;4;31;87;Durchschnitt;Mittlerer Wohnraum;Bezirk 7;91;2003;2022;3;185;247249
914;3;1 Ebene;1;1;1975;91;37;2;4;66;83;Gut;Mittlerer Wohnraum;Bezirk 22;0;1975;2020;5;91;148000
324;3;2 Ebenen;3;0;1989;72;37;2;3;33;72;Gut;Mittlerer Wohnraum;Bezirk 17;51;1989;2021;5;123;137900
729;4;2 Ebenen;2;0;1922;77;37;1;5;0;86;Schlecht;Rohbau;Bezirk 20;86;1962;2018;4;163;137000
280;3;1 Ebene;2;1;2016;151;79;3;3;130;151;Sehr gut;Guter Wohnraum;Bezirk 18;0;2017;2021;4;151;296000
356;2;2 Ebenen;1;0;1912;73;32;1;4;0;73;Durchschnitt;Rohbau;Bezirk 12;27;1962;2022;1;100;118192
980;3;2 Ebenen;3;0;2005;84;55;3;3;64;84;Gut;Niedrige Qualität;Bezirk 14;85;2006;2018;11;170;188000
443;4;2 Ebenen;3;0;2015;71;36;2;3;0;71;Gut;Rohbau;Bezirk 9;96;2015;2020;5;168;213000
16;2;1 Ebene;1;1;1969;78;26;1;3;43;78;Durchschnitt;Freizeitraum;Bezirk 15;0;1969;2019;4;78;116000
442;2;1 Ebene;1;0;1942;66;26;1;4;0;63;Durchschnitt;Rohbau;Bezirk 4;0;1972;2020;8;79;79500
262;3;2 Ebenen;2;0;1902;85;0;0;4;0;78;Schlecht;Rohbau;Bezirk 20;46;2018;2019;4;131;138000
587;2;1 Ebene;1;0;1937;71;18;1;4;0;71;Durchschnitt;Rohbau;Bezirk 20;0;1962;2018;7;71;111500
2216;3;2 Ebenen;3;0;1990;78;37;2;3;19;78;Durchschnitt;Niedrige Qualität;Bezirk 22;65;1990;2021;7;143;172500
1255;3;2 Ebenen;2;0;1990;57;37;2;4;17;57;Durchschnitt;Mittlerer Wohnraum;Bezirk 22;61;1990;2018;3;119;149500
1287;3;1 Ebene;1;1;1973;94;38;2;3;0;94;Durchschnitt;Rohbau;Bezirk 15;0;1973;2020;5;94;140000
1562;3;1 Ebene;1;1;1966;80;23;1;4;62;80;Durchschnitt;Freizeitraum;Bezirk 8;0;1966;2019;10;80;119000
470;2;1 Ebene;1;1;1967;81;28;1;3;8;81;Durchschnitt;Freizeitraum;Bezirk 15;0;1967;2021;2;81;122000
509;2;1 Ebene;1;1;1969;69;26;1;4;60;69;Durchschnitt;Guter Wohnraum;Bezirk 15;0;1969;2018;7;69;129900
669;2;1 Ebene;1;0;1942;77;30;1;4;0;44;Durchschnitt;Rohbau;Bezirk 12;0;2007;2020;5;77;99500
250;3;2 Ebenen;1;0;1922;96;45;2;5;0;61;Gut;Rohbau;Bezirk 4;75;2005;2021;10;171;167500
1371;2;1 Ebene;1;1;1979;80;44;2;3;9;80;Durchschnitt;Niedrige Qualität;Bezirk 22;0;1979;2019;6;80;134500
2114;3;2 Ebenen;3;0;1937;80;57;2;4;0;80;Durchschnitt;Rohbau;Bezirk 4;50;2019;2021;10;131;205000
1627;2;1 Ebene;2;2;2005;122;78;4;5;22;114;Gut;Niedrige Qualität;Bezirk 23;0;2005;2018;4;122;224500
2422;4;2 Ebenen;3;0;2010;81;36;2;3;0;79;Gut;Rohbau;Bezirk 9;79;2011;2018;7;160;199900
1198;1;1 Ebene;1;1;1982;53;24;1;5;43;53;Gut;Guter Wohnraum;Bezirk 13;0;2014;2021;5;53;86000
428;3;1 Ebene;1;0;1972;97;28;1;3;0;97;Durchschnitt;Rohbau;Bezirk 15;0;1972;2019;6;97;120000
1592;4;2 Ebenen;3;0;2017;146;69;3;3;0;144;Sehr gut;Rohbau;Bezirk 18;88;2018;2019;5;234;418000
2080;3;2 Ebenen;1;1;1922;69;0;0;4;82;94;Gut;Guter Wohnraum;Bezirk 8;44;2003;2020;1;114;107500
1380;1;1 Ebene;2;0;2016;97;49;2;3;0;97;Gut;Rohbau;Bezirk 24;0;2016;2018;5;97;176400
2197;3;1 Ebene;2;0;2020;147;70;3;3;0;147;Sehr gut;Rohbau;Bezirk 18;0;2020;2021;7;147;360000
1525;1;1 Ebene;2;1;1977;102;75;2;5;56;73;Durchschnitt;Guter Wohnraum;Bezirk 15;0;2010;2018;10;102;146000
1094;4;2 Ebenen;3;1;1989;131;52;2;4;76;113;Gut;Mittlerer Wohnraum;Bezirk 19;113;2007;2020;7;244;272000
277;3;1 Ebene;2;1;1989;136;44;2;4;105;136;Gut;Mittlerer Wohnraum;Bezirk 19;0;2012;2021;6;136;215000
290;2;2 Ebenen;2;0;1933;64;20;1;4;9;55;Durchschnitt;Kein Wohnraum;Bezirk 7;45;2017;2019;8;110;146500
463;4;1 Ebene;3;0;1970;193;39;2;5;0;49;Durchschnitt;Rohbau;Bezirk 26;0;2007;2019;7;193;257000
1886;3;2 Ebenen;3;1;2012;83;41;2;3;71;83;Gut;Guter Wohnraum;Bezirk 6;72;2012;2019;7;156;239250
638;3;2 Ebenen;3;1;2008;95;38;2;3;73;94;Gut;Guter Wohnraum;Bezirk 16;75;2009;2019;6;171;269790
330;2;2 Ebenen;1;0;1938;67;17;1;3;0;65;Durchschnitt;Rohbau;Bezirk 7;0;1962;2019;6;67;96500
1076;2;1 Ebene;2;0;2018;143;55;3;3;0;143;Gut;Rohbau;Bezirk 24;0;2018;2019;4;143;253000
2570;3;1 Ebene;1;1;1988;94;57;2;3;35;87;Durchschnitt;Mittlerer Wohnraum;Bezirk 8;0;1988;2022;3;94;123049
880;3;1 Ebene;1;0;1973;136;37;1;2;68;118;Durchschnitt;Kein Wohnraum;Bezirk 14;0;1973;2019;11;136;80000
737;3;1 Ebene;1;1;1990;99;44;2;4;66;73;Gut;Mittlerer Wohnraum;Bezirk 6;0;1990;2020;5;99;191180
1134;3;1 Ebene;1;1;1974;117;75;2;3;57;115;Durchschnitt;Freizeitraum;Bezirk 15;0;1974;2021;5;117;176000
2175;4;2 Ebenen;2;0;1937;68;34;1;5;13;57;Durchschnitt;Kein Wohnraum;Bezirk 21;57;1962;2020;3;125;140000
1575;3;1 Ebene;2;0;2018;136;74;3;3;0;135;Gut;Rohbau;Bezirk 18;0;2018;2021;7;136;255900
583;3;2 Ebenen;3;0;2016;116;59;3;3;0;116;Gut;Rohbau;Bezirk 24;138;2017;2021;7;255;280750
1050;4;2 Ebenen;3;1;2008;77;47;2;3;54;77;Gut;Guter Wohnraum;Bezirk 23;102;2009;2021;4;180;220000
902;2;2 Ebenen;1;0;1932;62;37;2;5;0;55;Schlecht;Rohbau;Bezirk 20;32;1962;2018;10;95;116000
1528;2;2 Ebenen;1;1;1941;53;28;1;4;6;59;Durchschnitt;Kein Wohnraum;Bezirk 4;43;1962;2020;8;96;123000
1796;4;2 Ebenen;2;0;1942;104;19;1;4;16;79;Durchschnitt;Guter Wohnraum;Bezirk 7;44;2015;2019;11;149;188000
1787;3;2 Ebenen;3;0;1990;72;37;2;4;26;72;Durchschnitt;Mittlerer Wohnraum;Bezirk 17;49;1990;2021;4;122;148500
1265;3;1 Ebene;2;1;2019;144;65;3;3;104;144;Sehr gut;Guter Wohnraum;Bezirk 8;0;2020;2021;2;144;320000
527;3;2 Ebenen;3;0;2015;68;52;2;3;0;67;Gut;Rohbau;Bezirk 8;78;2016;2018;5;146;196500
2037;3;2 Ebenen;2;0;1942;85;28;1;4;0;25;Durchschnitt;Rohbau;Bezirk 4;55;1994;2021;5;140;137000
136;1;1 Ebene;2;1;1971;153;41;2;5;105;127;Durchschnitt;Mittlerer Wohnraum;Bezirk 7;0;2009;2022;3;153;332350
1083;3;1 Ebene;1;0;1979;76;24;1;4;50;74;Durchschnitt;Guter Wohnraum;Bezirk 22;0;1979;2019;8;76;125500
265;2;1 Ebene;2;1;2000;104;40;2;3;65;104;Gut;Guter Wohnraum;Bezirk 25;0;2001;2020;10;104;189000
903;2;1 Ebene;1;1;1960;95;44;2;4;12;78;Durchschnitt;Guter Wohnraum;Bezirk 20;0;2017;2020;5;95;147000
1351;2;1 Ebene;1;1;1963;80;71;2;4;72;80;Durchschnitt;Mittlerer Wohnraum;Bezirk 15;0;1963;2020;6;80;139000
181;3;1 Ebene;2;1;2016;156;73;3;3;88;156;Sehr gut;Guter Wohnraum;Bezirk 18;0;2017;2021;3;156;280000
1459;3;1 Ebene;1;0;1968;81;24;1;2;0;57;Durchschnitt;Rohbau;Bezirk 8;0;1968;2021;10;81;112000
76;3;2 Ebenen;3;1;1989;80;48;2;4;34;95;Gut;Mittlerer Wohnraum;Bezirk 9;83;1989;2021;7;164;185000
2267;4;2 Ebenen;2;1;1952;83;35;1;4;56;83;Gut;Mittlerer Wohnraum;Bezirk 14;65;1997;2020;7;148;160000
1946;3;2 Ebenen;3;0;2006;92;34;2;3;0;60;Gut;Rohbau;Bezirk 9;68;2008;2020;10;161;194500
2043;4;2 Ebenen;3;0;2011;98;57;3;4;44;97;Gut;Guter Wohnraum;Bezirk 16;94;2019;2022;4;192;333500
1468;3;1 Ebene;2;1;2008;117;34;2;3;38;114;Gut;Guter Wohnraum;Bezirk 9;0;2009;2020;11;117;177900
658;3;1 Ebene;2;0;2016;145;46;2;3;0;145;Sehr gut;Rohbau;Bezirk 14;0;2017;2021;4;145;240000
1360;5;2 Ebenen;4;1;2015;97;38;2;3;65;95;Gut;Guter Wohnraum;Bezirk 26;113;2016;2019;7;211;279900
951;2;2 Ebenen;2;0;2019;59;45;2;3;0;58;Gut;Rohbau;Bezirk 24;58;2019;2020;3;118;146000
163;2;1 Ebene;1;1;1974;77;29;1;4;62;77;Durchschnitt;Mittlerer Wohnraum;Bezirk 22;0;1974;2020;9;77;144000
2324;3;2 Ebenen;3;1;2013;89;55;2;3;62;89;Gut;Guter Wohnraum;Bezirk 24;74;2013;2019;5;163;226000
911;2;1 Ebene;1;1;1994;72;48;2;3;58;72;Gut;Guter Wohnraum;Bezirk 22;0;1994;2021;4;72;134900
771;3;1 Ebene;2;1;2014;153;65;3;3;108;153;Sehr gut;Guter Wohnraum;Bezirk 26;0;2014;2018;5;153;312500
1465;3;2 Ebenen;3;0;1990;57;37;2;3;37;57;Durchschnitt;Freizeitraum;Bezirk 22;60;1990;2022;4;117;182735
1572;4;1 Ebene;3;1;2019;209;55;3;3;146;205;Sehr gut;Guter Wohnraum;Bezirk 18;0;2019;2020;8;209;417500
757;3;2 Ebenen;2;0;2016;82;32;2;3;0;82;Gut;Rohbau;Bezirk 8;62;2018;2018;4;145;130000
2275;1;2 Ebenen;2;1;1937;71;49;2;4;87;97;Durchschnitt;Mittlerer Wohnraum;Bezirk 20;37;2005;2019;8;108;128500
2099;2;1 Ebene;2;0;2018;132;53;2;3;2;132;Gut;Guter Wohnraum;Bezirk 18;0;2018;2019;8;132;209500
